"country","polyarchy","liberal_democracy","participatory_democracy","deliberative_democracy","egalitarian_democracy","gdp_per_capita","exports","imports","gdp","population"
"Somaliland",0.407,0.246,0.252,0.266,0.159,NA,NA,NA,NA,NA
"Uzbekistan",0.167,0.038,0.04,0.039,0.129,20.713,5403.906,15033.935,66243.466,3198.166
"Austria",0.872,0.808,0.659,0.798,0.77,95.732,171076.203,179122.006,88011.382,919.41
"Bahrain",0.156,0.044,0.041,0.047,0.113,62.744,37010.335,14442.16,9033.19,143.976
"Barbados",0.779,0.664,0.336,0.684,0.65,33.362,481.399,2156.663,1026.343,30.765
"Belgium",0.904,0.843,0.652,0.809,0.838,92.759,455669.824,446609.84,111494.816,1202.14
"Bosnia and Herzegovina",0.56,0.375,0.328,0.397,0.392,21.846,4690.782,8957.795,8488.409,388.566
"Bulgaria",0.677,0.565,0.48,0.557,0.524,39.93,28794.809,34179.145,31307.747,784.09
"Comoros",0.495,0.297,0.319,0.361,0.329,4.248,38.853,267.652,346.183,81.501
"Croatia",0.828,0.709,0.61,0.657,0.678,44.259,13680.271,22515.96,19580.466,442.431
"Cuba",0.169,0.057,0.052,0.088,0.233,18.066,2537.122,11792.197,21739.491,1203.401
"Cyprus",0.845,0.732,0.576,0.729,0.727,60.68,1683.18,6722.012,6438.47,106.116
"Czechia",0.857,0.776,0.58,0.742,0.778,65.803,171796.752,151649.421,73843.947,1122.279
"Denmark",0.922,0.896,0.712,0.883,0.884,102.553,108015.976,95356.614,62093.647,605.51
"Equatorial Guinea",0.182,0.053,0.057,0.062,0.101,86.808,10785.817,2619.724,8958.658,103.204
"Estonia",0.887,0.839,0.631,0.81,0.789,58.191,15536.227,17587.402,8126.787,139.663
"Fiji",0.197,0.145,0.114,0.197,0.199,20.35,1415.832,2419.446,1891.369,92.955
"Finland",0.889,0.856,0.627,0.82,0.823,84.542,73046.727,76294.516,49287.964,583.048
"Greece",0.886,0.8,0.611,0.813,0.785,52.351,35173.89,62905.253,60582.595,1157.34
"Guyana",0.608,0.39,0.376,0.357,0.422,20.003,1426.014,1856.207,1645.583,82.273
"Hong Kong",0.359,0.309,0.138,0.29,0.311,NA,NA,NA,NA,NA
"Iceland",0.859,0.778,0.637,0.697,0.796,101.19,5021.863,5367.055,3540.424,34.99
"Israel",0.744,0.663,0.475,0.602,0.611,76.918,68955.6,72275.7,65705.517,854.313
"Kuwait",0.316,0.287,0.107,0.312,0.249,124.351,92100.32,32108.264,48940.768,393.589
"Lithuania",0.831,0.774,0.629,0.735,0.747,55.529,31971.255,34981.559,17432.772,313.954
"Luxembourg",0.876,0.795,0.628,0.827,0.825,158.275,19094.273,26557.529,9444.785,59.679
"North Macedonia",0.447,0.275,0.303,0.259,0.308,27.927,5110.033,7194.328,6195.173,221.839
"Malaysia",0.329,0.212,0.235,0.252,0.231,49.345,234248.446,208961.363,156061.416,3162.672
"Malta",0.775,0.592,0.529,0.624,0.667,65.68,1936.858,6373.366,3043.6,46.342
"Mauritius",0.73,0.619,0.459,0.588,0.594,48.702,2574.419,5392.751,6657.157,136.702
"Montenegro",0.466,0.372,0.313,0.379,0.371,31.671,574.257,2839.413,2103.966,66.435
"New Zealand",0.886,0.833,0.687,0.764,0.784,79.883,41822.992,42303.733,38735.779,484.974
"Norway",0.89,0.856,0.642,0.86,0.844,140.413,142844.915,89184.284,76463.292,544.629
"Oman",0.172,0.143,0.125,0.073,0.18,57.865,53927.489,37458.31,24523.333,423.807
"Paraguay",0.595,0.411,0.373,0.326,0.231,18.038,9652.958,12428.838,12829.382,711.313
